cover_img,authors,publication_year,title,rating
book_covers/340.png,Meg Cabot,2001,Reunion,4.09
book_covers/341.png,Meg Cabot,2007,Queen of Babble in the Big City,3.77
book_covers/342.png,Meg Cabot,2006,Size 14 Is Not Fat Either,3.83
book_covers/343.png,Meg Cabot,2004,Boy Meets Girl,3.82
book_covers/344.png,Meg Cabot,2010,Runaway ,3.93
book_covers/345.png,Meg Cabot,2005,Ready or Not,3.4
book_covers/346.png,Meg Cabot,2007,"Big Boned (Heather Wells, #3)",3.84
book_covers/347.png,Meg Cabot,2012,Underworld,3.89
book_covers/348.png,Meg Cabot,2010,Insatiable,3.44
book_covers/349.png,Janet Evanovich,1994,One for the Money,4.03
book_covers/350.png,Janet Evanovich,1996,Two for the Dough,4.11
book_covers/351.png,Janet Evanovich,1997,Three to Get Deadly,4.14
book_covers/352.png,Janet Evanovich,1998,Four to Score ,4.17
book_covers/353.png,Janet Evanovich,1999,High Five,4.17
book_covers/354.png,Janet Evanovich,2001,Seven Up,4.15
book_covers/355.png,"Janet Evanovich, Lorelei King",2002,Hard Eight,4.17
book_covers/356.png,Janet Evanovich,2003,To the Nines,4.16
book_covers/357.png,Janet Evanovich,2002,"Janet Evanovich Three and Four Two-Book Set (Stephanie Plum, #3-4)",4.34
book_covers/358.png,Janet Evanovich,2005,Eleven on Top,4.15
book_covers/359.png,Janet Evanovich,2004,Ten Big Ones,4.13
book_covers/360.png,Janet Evanovich,2006,Twelve Sharp,4.14
book_covers/361.png,Janet Evanovich,2012,Notorious Nineteen,3.9
book_covers/362.png,Janet Evanovich,2013,Takedown Twenty,3.75
book_covers/363.png,Janet Evanovich,2014,Top Secret Twenty-One,3.79
book_covers/364.png,"Janet Evanovich, Lee Goldberg",2013,The Heist,3.78
book_covers/365.png,Janet Evanovich,2008,Plum Lucky ,3.72
book_covers/366.png,Janet Evanovich,2009,Plum Spooky,3.77
book_covers/367.png,Janet Evanovich,2012,Wicked Business,3.76
book_covers/368.png,Janet Evanovich,2016,Turbo Twenty-Three,3.75
book_covers/369.png,Janet Evanovich,2006,Motor Mouth,3.66
book_covers/370.png,"Janet Evanovich, Lee Goldberg",2014,The Chase,3.93
book_covers/371.png,"Janet Evanovich, Charlotte Hughes",1981,Full House,3.63
book_covers/372.png,"Janet Evanovich, Charlotte Hughes",2002,Full Tilt,3.7
book_covers/373.png,John Grisham,1991,The Firm,3.99
book_covers/374.png,John Grisham,1999,The Testament,3.83
book_covers/375.png,John Grisham,2013,Sycamore Row,3.98
book_covers/376.png,John Grisham,2012,The Racketeer,3.79
book_covers/377.png,John Grisham,2014,Gray Mountain,3.52
book_covers/378.png,John Grisham,2011,The Litigators,3.77
book_covers/379.png,John Grisham,2010,The Confession,3.81
book_covers/380.png,John Grisham,2012,Calico Joe,3.8
book_covers/381.png,John Grisham,2016,The Whistler,3.87
book_covers/382.png,"John Grisham, Richard Thomas",2010,"Theodore Boone, Kid Lawyer",3.72
book_covers/383.png,John Grisham,2008,Ford County,3.56
book_covers/384.png,John Grisham,1991,The Firm,3.89
book_covers/385.png,John Grisham,2010,The Abduction,3.76
book_covers/386.png,David Baldacci,1995,Absolute Power,4.15
book_covers/387.png,David Baldacci,2012,The Innocent,4.1
book_covers/388.png,David Baldacci,2015,Memory Man,4.05
book_covers/389.png,David Baldacci,2012,The Forgotten,4.07
book_covers/390.png,David Baldacci,2008,Divine Justice,4.17
book_covers/391.png,David Baldacci,2013,The Hit,4.05
book_covers/392.png,David Baldacci,2016,The Last Mile,4.22
book_covers/393.png,David Baldacci,2014,The Escape,4.14
book_covers/394.png,David Baldacci,2014,The Target,4.04
book_covers/395.png,David Baldacci,1996,Total Control,4.06
book_covers/396.png,David Baldacci,2015,The Guilty,4.12
book_covers/397.png,David Baldacci,2010,Hell's Corner ,4.1
book_covers/398.png,David Baldacci,2013,King & Maxwell,4.03
book_covers/399.png,David Baldacci,2011,One Summer,3.72
book_covers/400.png,David Baldacci,2016,No Man's Land,4.19
book_covers/401.png,David Baldacci,2001,The Christmas Train,3.56
book_covers/402.png,Anne Rice,1976,Interview with the Vampire,3.97
book_covers/403.png,Anne Rice,1985,The Vampire Lestat,4.05
book_covers/404.png,Anne Rice,1988,The Queen of the Damned,3.86
book_covers/405.png,Anne Rice,1990,The Witching Hour,4.1
book_covers/406.png,Anne Rice,1992,The Tale of the Body Thief,3.7
book_covers/407.png,Anne Rice,1995,Memnoch The Devil,3.73
book_covers/408.png,"A.N. Roquelaure, Anne Rice",1983,The Claiming of Sleeping Beauty,3.28
book_covers/409.png,Anne Rice,2000,Merrick,3.71
book_covers/410.png,Anne Rice,2001,Blood and Gold: The Vampire Marius,3.88
book_covers/411.png,Anne Rice,2002,Blackwood Farm,3.85
book_covers/412.png,Anne Rice,1996,Servant of the Bones,3.7
book_covers/413.png,"A.N. Roquelaure, Anne Rice",1985,"Beauty's Release (Sleeping Beauty, #3)",3.71
book_covers/414.png,Anne Rice,2012,The Wolf Gift,3.52
book_covers/415.png,"A.N. Roquelaure, Anne Rice",1984,Beauty's Punishment,3.62
book_covers/416.png,Anne Rice,1999,Vittorio the Vampire,3.5
book_covers/417.png,"Faye Perozich, Travis Moore, Michael Halbleib, Daerick Gröss, Anne Rice",2000,Anne Rice's The Tale of the Body Thief (Graphic Novel),4.07
book_covers/418.png,Anne Rice,2003,Blood Canticle,3.71
book_covers/419.png,Anne Rice,2014,Prince Lestat,3.76
book_covers/420.png,Anne Rice,1982,Cry to Heaven,3.83
book_covers/421.png,Anne Rice,1997,Violin,3.26
book_covers/422.png,"Anne Rampling, Anne Rice",1985,Exit to Eden,3.55
book_covers/423.png,Anne Rice,1998,Pandora / Vittorio the Vampire (New Tales of the Vampires),4.03
book_covers/424.png,Anne Rice,2005,Christ the Lord: Out of Egypt,3.56
book_covers/425.png,Laurell K. Hamilton,1996,Bloody Bones,4.1
book_covers/426.png,Laurell K. Hamilton,1998,"Burnt Offerings (Anita Blake, Vampire Hunter, #7)",4.07
book_covers/427.png,Laurell K. Hamilton,2000,"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",4.08
book_covers/428.png,Laurell K. Hamilton,2001,"Narcissus in Chains (Anita Blake, Vampire Hunter, #10)",3.89
book_covers/429.png,Laurell K. Hamilton,2000,"A Kiss of Shadows (Merry Gentry, #1)",4.01
book_covers/430.png,Laurell K. Hamilton,2003,"Cerulean Sins (Anita Blake, Vampire Hunter, #11)",3.84
book_covers/431.png,Laurell K. Hamilton,2004,"Incubus Dreams (Anita Blake, Vampire Hunter, #12)",3.78
book_covers/432.png,Laurell K. Hamilton,2006,"Danse Macabre (Anita Blake, Vampire Hunter, #14)",3.81
book_covers/433.png,Laurell K. Hamilton,2007,"The Harlequin (Anita Blake, Vampire Hunter, #15)",3.9
book_covers/434.png,Laurell K. Hamilton,2007,"Blood Noir (Anita Blake, Vampire Hunter, #16)",3.85
book_covers/435.png,Laurell K. Hamilton,2002,"A Caress of Twilight (Merry Gentry, #2)",4.05
book_covers/436.png,Laurell K. Hamilton,2009,Skin Trade,3.9
book_covers/437.png,Laurell K. Hamilton,2004,"Seduced by Moonlighty (Merry Gentry, #3)",4.05
book_covers/438.png,Laurell K. Hamilton,2005,"A Stroke of Midnight (Merry Gentry, #4)",4.06
book_covers/439.png,Laurell K. Hamilton,2010,Bullet,3.82
book_covers/440.png,Laurell K. Hamilton,2009,Flirt,3.7
book_covers/441.png,Laurell K. Hamilton,2011,Hit List,3.92
book_covers/442.png,Laurell K. Hamilton,2012,Kiss the Dead,3.79
book_covers/443.png,Laurell K. Hamilton,2009,Divine Misdemeanors ,4.04
book_covers/444.png,Laurell K. Hamilton,2013,Affliction,4.01
book_covers/445.png,Michael Connelly,2005,The Lincoln Lawyer ,4.14
book_covers/446.png,Michael Connelly,1992,The Black Echo,4.08
book_covers/447.png,Michael Connelly,2010,The Reversal,4.13
book_covers/448.png,Michael Connelly,2011,The Drop,4.14
book_covers/449.png,Michael Connelly,2006,Echo Park,4.07
book_covers/450.png,Michael Connelly,2012,The Black Box,4.09
book_covers/451.png,Michael Connelly,2014,The Burning Room,4.05
book_covers/452.png,Michael Connelly,2013,The Gods of Guilt,4.09
book_covers/453.png,Michael Connelly,1999,Angels Flight,4.13
book_covers/454.png,Michael Connelly,2015,The Crossing,4.21
book_covers/455.png,Michael Connelly,2016,The Wrong Side of Goodbye,4.36
book_covers/456.png,Michael Connelly,1999,Void Moon,3.95
book_covers/457.png,Rick Riordan,2005,The Lightning Thief,4.23
book_covers/458.png,Rick Riordan,2006,The Sea of Monsters,4.23
book_covers/459.png,Rick Riordan,2008,The Battle of the Labyrinth,4.39
book_covers/460.png,Rick Riordan,2010,The Lost Hero,4.35
book_covers/461.png,Rick Riordan,2009,The Last Olympian,4.5
book_covers/462.png,Rick Riordan,2007,The Titan's Curse,4.33
book_covers/463.png,Rick Riordan,2011,The Son of Neptune ,4.44
book_covers/464.png,Rick Riordan,2010,The Red Pyramid,4.06
book_covers/465.png,Rick Riordan,2012,The Mark of Athena,4.47
book_covers/466.png,Rick Riordan,2013,The House of Hades,4.54
book_covers/467.png,Rick Riordan,2011,The Throne of Fire,4.2
book_covers/468.png,Rick Riordan,2014,The Blood of Olympus,4.41
book_covers/469.png,Rick Riordan,2012,The Serpent's Shadow,4.28
book_covers/470.png,Rick Riordan,2015,The Sword of Summer,4.26
book_covers/471.png,Rick Riordan,2008,The Maze of Bones ,3.83
book_covers/472.png,Rick Riordan,2016,The Hidden Oracle,4.33
book_covers/473.png,"Rick Riordan, Gordon Korman, Peter Lerangis, Jude Watson",2011,Vespers Rising,4.12
book_covers/474.png,"Rick Riordan, Haley Riordan",2012,The Demigod Diaries,4.19
book_covers/475.png,Rick Riordan,2013,The Son of Sobek,4.26
book_covers/476.png,Rick Riordan,2016,The Hammer of Thor,4.37
book_covers/477.png,"Mary-Jane Knight, Rick Riordan",2010,Percy Jackson: The Ultimate Guide,4.12
book_covers/478.png,"Rick Riordan, Robert Venditti, José Villarrubia, Attila Futaki",2010,The Lightning Thief: The Graphic Novel,3.95
book_covers/479.png,Rick Riordan,2009,Percy Jackson and the Sword of Hades,4.28
book_covers/480.png,John Sandford,1991,Eyes of Prey,4.18
book_covers/481.png,John Sandford,2015,Gathering Prey,4.18
book_covers/482.png,John Sandford,2011,Shock Wave,4.19
book_covers/483.png,John Sandford,1992,Silent Prey,4.13
book_covers/484.png,John Sandford,2013,Silken Prey,4.16
book_covers/485.png,John Sandford,2010,Storm Prey,4.15
book_covers/486.png,John Sandford,1994,Night Prey,4.14
book_covers/487.png,"J.K. Rowling, Mary GrandPré",1997,Harry Potter and the Philosopher's Stone,4.44
book_covers/488.png,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,Harry Potter and the Prisoner of Azkaban,4.53
book_covers/489.png,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,4.46
book_covers/490.png,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,4.37
book_covers/491.png,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,4.53
book_covers/492.png,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,4.61
book_covers/493.png,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,4.54
book_covers/494.png,"Robert Galbraith, J.K. Rowling",2013,The Cuckoo's Calling,3.83
book_covers/495.png,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child, Parts One and Two",3.75
book_covers/496.png,J.K. Rowling,2012,The Casual Vacancy,3.28
book_covers/497.png,J.K. Rowling,2007,The Tales of Beedle the Bard,4.06
book_covers/498.png,J.K. Rowling,1998,Complete Harry Potter Boxed Set,4.74
book_covers/499.png,"Newt Scamander, J.K. Rowling, Albus Dumbledore",2001,Fantastic Beasts and Where to Find Them,3.95
book_covers/500.png,"Robert Galbraith, J.K. Rowling",2014,The Silkworm,4.03
book_covers/501.png,"Kennilworthy Whisp, J.K. Rowling",2001,Quidditch Through the Ages,3.85
book_covers/502.png,J.K. Rowling,2005,"Harry Potter Collection (Harry Potter, #1-6)",4.73
book_covers/503.png,J.K. Rowling,2016,Fantastic Beasts and Where to Find Them: The Original Screenplay,4.41
book_covers/504.png,"J.K. Rowling, MinaLima",2016,"Short Stories from Hogwarts of Heroism, Hardship and Dangerous Hobbies",4.22
book_covers/505.png,"J.K. Rowling, MinaLima",2016,"Short Stories from Hogwarts of Power, Politics and Pesky Poltergeists",4.2
book_covers/506.png,J.K. Rowling,2016,Hogwarts: An Incomplete and Unreliable Guide,4.21
book_covers/507.png,"J.K. Rowling, Joel Holland",2015,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,4.26
book_covers/508.png,Kristen Ashley,2011,"Mystery Man (Dream Man, #1)",4.25
book_covers/509.png,Kristen Ashley,2008,Rock Chick,4.2
book_covers/510.png,Kristen Ashley,2011,The Gamble,4.29
book_covers/511.png,Kristen Ashley,2012,Motorcycle Man,4.43
book_covers/512.png,Kristen Ashley,2012,Knight,3.94
book_covers/513.png,Kristen Ashley,2013,Own the Wind,4.22
book_covers/514.png,Kristen Ashley,2011,Sweet Dreams,4.42
book_covers/515.png,Kristen Ashley,2012,Law Man,4.33
book_covers/516.png,Kristen Ashley,2011,Wild Man,4.21
book_covers/517.png,Kristen Ashley,2011,Lady Luck,4.44
book_covers/518.png,Kristen Ashley,2009,Rock Chick Rescue,4.31
book_covers/519.png,Kristen Ashley,2012,Breathe,4.38
book_covers/520.png,Kristen Ashley,2012,Creed,4.17
book_covers/521.png,Kristen Ashley,2013,Raid,4.23
book_covers/522.png,Kristen Ashley,2011,For You,4.19
book_covers/523.png,Kristen Ashley,2011,At Peace,4.49
book_covers/524.png,Kristen Ashley,2011,Wildest Dreams,4.19
book_covers/525.png,Kristen Ashley,2015,Ride Steady,4.45
book_covers/526.png,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Juliet,3.73
book_covers/527.png,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",4.0
book_covers/528.png,William Shakespeare,1606,The Tragedy of Macbeth,3.88
book_covers/529.png,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,3.94
book_covers/530.png,William Shakespeare,1603,"The Tragedy of Othello, The Moor of Venice",3.88
book_covers/531.png,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",1598,Much Ado About Nothing,4.06
book_covers/532.png,William Shakespeare,1603,The Tragedie of King Lear,3.89
book_covers/533.png,"William Shakespeare, Roma Gill",1599,The Tragedy of Julius Caesar,3.65
book_covers/534.png,William Shakespeare,1593,The Taming of the Shrew,3.81
book_covers/535.png,William Shakespeare,1623,The Tempest,3.8
book_covers/536.png,"William Shakespeare, Robert          Jackson, Barbara A. Mowat, Paul Werstine",1596,The Merchant of Venice,3.78
book_covers/537.png,William Shakespeare,1601,"Twelfth Night; or, What You Will",3.97
book_covers/538.png,William Shakespeare,1599,As You Like It,3.83
book_covers/539.png,William Shakespeare,1623,The Complete Works,4.49
book_covers/540.png,"William Shakespeare, Barbara A. Mowat, Paul Werstine",1599,The Cronicle History of Henry the fift,3.87
book_covers/541.png,William Shakespeare,1600,The Winter's Tale,3.69
book_covers/542.png,Tamora Pierce,1988,Lioness Rampant,4.28
book_covers/543.png,Tamora Pierce,1992,"Wild Magic (Immortals, #1)",4.32
book_covers/544.png,Tamora Pierce,1994,"Emperor Mage (Immortals, #3)",4.3
book_covers/545.png,Tamora Pierce,2006,Terrier,4.16
book_covers/546.png,Tamora Pierce,1996,"The Realms of the Gods (Immortals, #4)",4.32
book_covers/547.png,Tamora Pierce,1999,First Test,4.24
book_covers/548.png,Tamora Pierce,2002,Lady Knight ,4.3
book_covers/549.png,Tamora Pierce,1993,"Wolf-Speaker (Immortals, #2)",4.21
book_covers/550.png,Tamora Pierce,2000,Page ,4.22
book_covers/551.png,Tamora Pierce,1997,Sandry's Book,3.99
book_covers/552.png,Tamora Pierce,2009,"Bloodhound (Beka Cooper, #2)",4.26
book_covers/553.png,Tamora Pierce,1998,Tris's Book,4.07
book_covers/554.png,Tamora Pierce,1998,Daja's Book,4.06
book_covers/555.png,Tamora Pierce,1999,Briar's Book,4.14
book_covers/556.png,Tamora Pierce,2003,Shatterglass,4.16
book_covers/557.png,Tamora Pierce,2011,Mastiff,4.24
book_covers/558.png,Tamora Pierce,2001,Street Magic,4.12
book_covers/559.png,Tamora Pierce,2002,Cold Fire,4.05
book_covers/560.png,Tamora Pierce,2000,Magic Steps,3.98
book_covers/561.png,Orson Scott Card,1985,Ender's Game,4.3
book_covers/562.png,Orson Scott Card,1986,Speaker for the Dead,4.04
book_covers/563.png,"Orson Scott Card, Aaron Johnston",2012,"Earth Unaware (The First Formic War, #1) ",3.91
book_covers/564.png,Orson Scott Card,1987,Alvin Maker: Seventh Son,3.86
book_covers/565.png,Orson Scott Card,2011,The Lost Gate,3.82
book_covers/566.png,"Orson Scott Card, James Cameron",1989,The Abyss,4.06
book_covers/567.png,Orson Scott Card,1988,"Red Prophet (Tales of Alvin Maker, #2)",3.78
book_covers/568.png,Orson Scott Card,2013,The Gate Thief,3.77
book_covers/569.png,Brandon Sanderson,2006,Mistborn : The Final Empire,4.43
book_covers/570.png,Brandon Sanderson,2010,The Way of Kings,4.64
book_covers/571.png,Brandon Sanderson,2008,The Hero of Ages,4.46
book_covers/572.png,Brandon Sanderson,2014,Words of Radiance,4.77
book_covers/573.png,Brandon Sanderson,2013,Steelheart,4.16
book_covers/574.png,"Robert Jordan, Brandon Sanderson",2010,Towers of Midnight,4.42
book_covers/575.png,Brandon Sanderson,2005,Elantris,4.17
book_covers/576.png,"Robert Jordan, Brandon Sanderson",2012,A Memory of Light,4.5
book_covers/577.png,Brandon Sanderson,2015,Firefight,4.29
book_covers/578.png,Brandon Sanderson,2015,Shadows of Self,4.3
book_covers/579.png,Brandon Sanderson,2009,Mistborn Trilogy Boxed Set,4.55
book_covers/580.png,Brandon Sanderson,2012,The Emperor's Soul,4.33
book_covers/581.png,Brandon Sanderson,2016,Calamity,4.2
book_covers/582.png,Brandon Sanderson,2016,The Bands of Mourning,4.45
book_covers/583.png,Brandon Sanderson,2012,Legion,4.13
book_covers/584.png,Brandon Sanderson,2013,Mitosis,3.87
book_covers/585.png,Brandon Sanderson,2007,Alcatraz Versus the Evil Librarians,3.87
book_covers/586.png,Brandon Sanderson,2011,"The Way of Kings, Part 1",4.67
book_covers/587.png,"Brandon Sanderson, Jon Foster",2014,Legion: Skin Deep,4.11
book_covers/588.png,Jim Butcher,2000,Storm Front,4.02
book_covers/589.png,Jim Butcher,2001,Fool Moon ,4.04
book_covers/590.png,Jim Butcher,2001,Grave Peril,4.18
book_covers/591.png,Jim Butcher,2002,Summer Knight,4.3
book_covers/592.png,Jim Butcher,2003,Death Masks,4.32
book_covers/593.png,Jim Butcher,2004,Blood Rites,4.33
book_covers/594.png,Jim Butcher,2005,Dead Beat,4.43
book_covers/595.png,Jim Butcher,2006,Proven Guilty,4.41
book_covers/596.png,Jim Butcher,2007,White Night,4.41
book_covers/597.png,Jim Butcher,2008,Small Favor,4.43
book_covers/598.png,Jim Butcher,2004,Furies of Calderon ,4.12
book_covers/599.png,Jim Butcher,2010,Changes,4.54
book_covers/600.png,Jim Butcher,2009,Turn Coat,4.45
book_covers/601.png,Jim Butcher,2012,Cold Days,4.51
book_covers/602.png,Jim Butcher,2011,Ghost Story,4.25
book_covers/603.png,Jim Butcher,2014,Skin Game,4.55
book_covers/604.png,Jim Butcher,2008,Princeps' Fury,4.35
book_covers/605.png,Jim Butcher,2008,First Lord's Fury,4.37
book_covers/606.png,Jim Butcher,2007,Captain's Fury,4.38
book_covers/607.png,Jim Butcher,2005,Academ's Fury,4.27
book_covers/608.png,Jim Butcher,2010,Side Jobs: Stories From The Dresden Files,4.23
book_covers/609.png,Jim Butcher,2015,The Aeronaut's Windlass ,4.18
book_covers/610.png,Jim Butcher,2008,Welcome to the Jungle,4.09
book_covers/611.png,Patricia Cornwell,1990,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,4.01
book_covers/612.png,Patricia Cornwell,1993,Cruel & Unusual,4.11
book_covers/613.png,Patricia Cornwell,1998,Point of Origin,4.02
book_covers/614.png,Patricia Cornwell,1991,Body of Evidence ,4.0
book_covers/615.png,Patricia Cornwell,1997,Unnatural Exposure,4.05
book_covers/616.png,Patricia Cornwell,1992,All That Remains,4.05
book_covers/617.png,Patricia Cornwell,1995,From Potter's Field,4.02
book_covers/618.png,Patricia Cornwell,1996,Cause of Death,3.93
book_covers/619.png,Patricia Cornwell,1999,Black Notice,3.85
book_covers/620.png,Patricia Cornwell,2004,Trace,3.76
book_covers/621.png,Patricia Cornwell,2005,Predator,3.67
book_covers/622.png,Patricia Cornwell,2008,Scarpetta,3.72
book_covers/623.png,Patricia Cornwell,2012,The Bone Bed,3.64
book_covers/624.png,Patricia Cornwell,2013,Dust,3.53
book_covers/625.png,Patricia Cornwell,2014,Flesh and Blood,3.67
book_covers/626.png,Patricia Cornwell,2015,Depraved Heart,3.58
book_covers/627.png,Jennifer L. Armentrout,2011,Obsidian,4.23
book_covers/628.png,"J. Lynn, Jennifer L. Armentrout",2013,Wait for You,4.19
book_covers/629.png,Jennifer L. Armentrout,2012,Onyx,4.33
book_covers/630.png,Jennifer L. Armentrout,2012,Opal,4.34
book_covers/631.png,Jennifer L. Armentrout,2013,Origin,4.44
book_covers/632.png,Jennifer L. Armentrout,2011,Half-Blood,4.16
book_covers/633.png,Jennifer L. Armentrout,2012,Pure,4.34
book_covers/634.png,Jennifer L. Armentrout,2014,Opposition,4.43
book_covers/635.png,Jennifer L. Armentrout,2012,Deity,4.41
book_covers/636.png,Jennifer L. Armentrout,2013,Apollyon,4.4
book_covers/637.png,Jennifer L. Armentrout,2014,White Hot Kiss,4.28
book_covers/638.png,"J. Lynn, Jennifer L. Armentrout",2013,Frigid,3.79
book_covers/639.png,"J. Lynn, Jennifer L. Armentrout",2014,Be with Me,4.15
book_covers/640.png,"J. Lynn, Jennifer L. Armentrout",2013,Trust in Me,4.27
book_covers/641.png,Jennifer L. Armentrout,2012,Shadows,4.16
book_covers/642.png,Jennifer L. Armentrout,2014,Don't Look Back,4.11
book_covers/643.png,Jennifer L. Armentrout,2012,Elixir,4.41
book_covers/644.png,"J. Lynn, Jennifer L. Armentrout",2012,Tempting the Best Man,3.73
book_covers/645.png,"J. Lynn, Jennifer L. Armentrout",2014,Stay with Me,4.17
book_covers/646.png,Jennifer L. Armentrout,2016,The Problem with Forever,4.0
book_covers/647.png,Jennifer L. Armentrout,2014,Stone Cold Touch,4.38
book_covers/648.png,Jennifer L. Armentrout,2014,Wicked,4.08
book_covers/649.png,"J. Lynn, Jennifer L. Armentrout",2012,Tempting the Player,4.06
book_covers/650.png,Harlan Coben,2001,Tell No One,4.11
book_covers/651.png,Harlan Coben,2013,Six Years,3.8
book_covers/652.png,Harlan Coben,2015,The Stranger,3.85
book_covers/653.png,Harlan Coben,2016,Fool Me Once,3.9
book_covers/654.png,Harlan Coben,2014,Missing Υou,3.95
book_covers/655.png,Harlan Coben,2004,Just One Look,4.0
book_covers/656.png,Harlan Coben,2003,No Second Chance,4.05
book_covers/657.png,Harlan Coben,2016,Home ,4.2
book_covers/658.png,Harlan Coben,2006,"Promise Me (Myron Bolitar, #8)",3.96
book_covers/659.png,Harlan Coben,2005,The Innocent,3.95
book_covers/660.png,Harlan Coben,1997,Back Spin,3.96
book_covers/661.png,Harlan Coben,1998,One False Move,4.07
book_covers/662.png,Harlan Coben,1999,The Final Detail,4.0
book_covers/663.png,Harlan Coben,1999,Darkest Fear,4.03
book_covers/664.png,Sherrilyn Kenyon,2002,Fantasy Lover,4.17
book_covers/665.png,Sherrilyn Kenyon,2003,Dance with the Devil,4.39
book_covers/666.png,Sherrilyn Kenyon,2008,"Acheron (Dark-Hunter, #15) - Part 1",4.59
book_covers/667.png,Sherrilyn Kenyon,2004,Night Play,4.36
book_covers/668.png,Sherrilyn Kenyon,2002,"Night Embrace (Dark-Hunter, #2)",4.25
book_covers/669.png,Sherrilyn Kenyon,2007,The Dream Hunter,4.06
book_covers/670.png,Sherrilyn Kenyon,2004,Seize the Night,4.36
book_covers/671.png,Sherrilyn Kenyon,2004,Kiss of the Night,4.24
book_covers/672.png,Sherrilyn Kenyon,2005,Unleash the Night,4.34
book_covers/673.png,Sherrilyn Kenyon,2005,Sins of the Night,4.18
book_covers/674.png,Sherrilyn Kenyon,2009,Bad Moon Rising,4.29
book_covers/675.png,Sherrilyn Kenyon,2008,Dream Chaser,4.2
book_covers/676.png,Sherrilyn Kenyon,2007,Upon the Midnight Clear,4.0
book_covers/677.png,Sherrilyn Kenyon,2009,Dream Warrior,4.21
book_covers/678.png,Sherrilyn Kenyon,2013,Styxx,4.58
book_covers/679.png,Sherrilyn Kenyon,2011,Retribution,4.12
book_covers/680.png,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe",4.19
book_covers/681.png,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,4.24
book_covers/682.png,"C.S. Lewis, Pauline Baynes",1951,The Voyage of the Dawn Treader,4.08
book_covers/683.png,C.S. Lewis,1953,The magician's nephew,4.01
book_covers/684.png,C.S. Lewis,1951,Prince Caspian: The Return to Narnia,3.96
book_covers/685.png,C.S. Lewis,1942,A Grief Observed,4.21
book_covers/686.png,C.S. Lewis,1952,Mere Christianity,4.31
book_covers/687.png,C.S. Lewis,1954,The horse and his boy,3.9
book_covers/688.png,"C.S. Lewis, Pauline Baynes",1953,The Silver Chair,3.95
book_covers/689.png,C.S. Lewis,1956,The Last Battle,4.02
book_covers/690.png,C.S. Lewis,1945,The Great Divorce,4.28
book_covers/691.png,C.S. Lewis,1938,Out of the Silent Planet,3.92
book_covers/692.png,C.S. Lewis,1961,A Grief Observed,4.26
book_covers/693.png,C.S. Lewis,1960,The Four Loves,4.16
book_covers/694.png,C.S. Lewis,1956,Till We Have Faces,4.19
book_covers/695.png,C.S. Lewis,1955,Surprised by Joy: The Shape of My Early Life,4.14
book_covers/696.png,C.S. Lewis,1940,The Problem of Pain,4.12
book_covers/697.png,C.S. Lewis,1943,The Abolition of Man,4.07
book_covers/698.png,C.S. Lewis,1949,The Weight of Glory,4.41
book_covers/699.png,Jodi Picoult,2004,My Sister's Keeper,4.06
book_covers/700.png,Jodi Picoult,1998,The Pact,4.0
book_covers/701.png,Jodi Picoult,2013,The Storyteller,4.26
book_covers/702.png,Jodi Picoult,2010,House Rules,4.01
book_covers/703.png,Jodi Picoult,2006,The Tenth Circle,3.48
book_covers/704.png,Jodi Picoult,2014,Leaving Time,3.94
book_covers/705.png,Jodi Picoult,2009,Handle with Care,3.96
book_covers/706.png,Jodi Picoult,2005,Vanishing Acts,3.68
book_covers/707.png,Jodi Picoult,1999,Keeping Faith,3.79
book_covers/708.png,Jodi Picoult,2001,Salem Falls,3.8
book_covers/709.png,Jodi Picoult,2012,Lone Wolf,3.67
book_covers/710.png,Jodi Picoult,1996,Mercy,3.57
book_covers/711.png,Jodi Picoult,1993,Harvesting the Heart,3.59
book_covers/712.png,"Jodi Picoult, Samantha van Leer",2012,Between the Lines,3.58
book_covers/713.png,Jodi Picoult,1992,Songs of the Humpback Whale: A Novel in Five Voices,3.19
book_covers/714.png,Jodi Picoult,2014,Where There's Smoke,3.56
book_covers/715.png,Lee Child,1997,Killing Floor,4.04
book_covers/716.png,Lee Child,1998,"Die Trying (Jack Reacher, #2)",4.0
book_covers/717.png,Lee Child,2010,Worth Dying For,4.2
